City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Iowa City,US,2020-10-18 04:31:16,41.66,-91.53,53.01,71,90,13.02
281,Cockburn Town,TC,2020-10-18 04:32:39,21.46,-71.14,83.71,78,85,20.71
282,Walvis Bay,NA,2020-10-18 04:32:40,-22.96,14.51,57.0,93,2,6.93
283,Balkanabat,TM,2020-10-18 04:32:40,39.51,54.37,74.61,18,0,13.51
284,Lebu,CL,2020-10-18 04:32:41,-37.62,-73.65,49.5,94,16,2.44
285,Saint-Augustin,CA,2020-10-18 04:32:41,51.23,-58.65,57.78,86,86,22.97
286,Seoul,KR,2020-10-18 04:32:06,37.57,126.98,68.0,45,40,8.08
287,Collie,AU,2020-10-18 04:32:41,-33.37,116.15,80.01,31,0,7.34
288,Necochea,AR,2020-10-18 04:32:42,-38.55,-58.74,69.01,75,0,13.0
289,Khargone,IN,2020-10-18 04:32:42,21.82,75.6,85.37,67,100,5.55
290,Salinopolis,BR,2020-10-18 04:32:42,-0.61,-47.36,78.31,81,28,9.46
291,Shakiso,ET,2020-10-18 04:32:42,5.75,38.92,59.97,94,100,0.38
292,Finote Selam,ET,2020-10-18 04:32:43,10.7,37.27,60.4,88,43,0.78
293,Camacha,PT,2020-10-18 04:32:43,33.08,-16.33,69.8,68,40,18.34
294,Sovetskaya,RU,2020-10-18 04:32:43,44.78,41.17,62.31,40,3,4.81
295,Catuday,PH,2020-10-18 04:32:43,16.29,119.81,84.24,72,37,5.41
296,Brielle,NL,2020-10-18 04:32:44,51.9,4.15,50.0,89,10,4.74
297,Seddon,AU,2020-10-18 04:32:44,-37.81,144.89,60.01,62,90,12.75
298,Moron,AR,2020-10-18 04:30:07,-34.65,-58.62,70.0,90,0,3.0
299,San Juan Bautista,PE,2020-10-18 04:32:44,-14.01,-75.74,62.6,82,90,5.82
300,Mango,US,2020-10-18 04:32:44,27.98,-82.31,75.99,83,90,8.01
301,Esso,RU,2020-10-18 04:32:45,55.93,158.7,31.08,92,87,5.95
302,La Ronge,CA,2020-10-18 04:32:45,55.1,-105.28,24.8,79,90,13.87
303,Mutare,ZW,2020-10-18 04:32:45,-18.97,32.67,68.9,50,0,0.56
